date,product,region,revenue,leads,conversions
2025-02-02,Product A,North,18417,427,173
2025-02-02,Product A,South,21543,486,187
2025-02-02,Product A,East,14915,430,173
2025-02-02,Product A,West,16864,118,37
2025-02-02,Product A,Central,8060,456,144
2025-02-02,Product B,North,11022,354,92
2025-02-02,Product B,South,12941,174,49
2025-02-02,Product B,East,9345,428,102
2025-02-02,Product B,West,15444,110,24
2025-02-02,Product B,Central,11396,356,86
2025-02-02,Product C,North,11118,274,58
2025-02-02,Product C,South,14940,282,68
2025-02-02,Product C,East,6516,165,40
2025-02-02,Product C,West,13032,227,41
2025-02-02,Product C,Central,10711,127,27
2025-02-02,Product D,North,10900,241,48
2025-02-02,Product D,South,8412,387,82
2025-02-02,Product D,East,6166,281,45
2025-02-02,Product D,West,9078,225,43
2025-02-02,Product D,Central,4653,327,51
2025-02-02,Product E,North,7810,326,43
2025-02-02,Product E,South,8101,169,16
2025-02-02,Product E,East,5833,183,20
2025-02-02,Product E,West,3091,142,18
2025-02-02,Product E,Central,5142,215,25
2025-02-05,Product A,North,15004,468,162
2025-02-05,Product A,South,26103,282,86
2025-02-05,Product A,East,18257,226,74
2025-02-05,Product A,West,16858,213,60
2025-02-05,Product A,Central,14952,218,62
2025-02-05,Product B,North,17329,437,124
2025-02-05,Product B,South,20732,284,83
2025-02-05,Product B,East,16961,206,55
2025-02-05,Product B,West,8230,113,32
2025-02-05,Product B,Central,6608,472,153
2025-02-05,Product C,North,15418,425,102
2025-02-05,Product C,South,6631,212,38
2025-02-05,Product C,East,12896,294,63
2025-02-05,Product C,West,12465,301,64
2025-02-05,Product C,Central,6642,381,84
2025-02-05,Product D,North,6903,241,42
2025-02-05,Product D,South,5662,217,31
2025-02-05,Product D,East,5615,380,64
2025-02-05,Product D,West,5429,106,18
2025-02-05,Product D,Central,6085,487,78
2025-02-05,Product E,North,8925,182,20
2025-02-05,Product E,South,7661,478,50
2025-02-05,Product E,East,5550,103,13
2025-02-05,Product E,West,5527,240,33
2025-02-05,Product E,Central,3900,162,23
2025-02-12,Product A,North,32489,191,76
2025-02-12,Product A,South,20235,123,40
2025-02-12,Product A,East,22918,476,161
2025-02-12,Product A,West,20573,479,173
2025-02-12,Product A,Central,10252,228,69
2025-02-12,Product B,North,24767,168,48
2025-02-12,Product B,South,10886,239,66
2025-02-12,Product B,East,16094,465,133
2025-02-12,Product B,West,11655,138,43
2025-02-12,Product B,Central,8409,357,103
2025-02-12,Product C,North,18241,360,87
2025-02-12,Product C,South,6608,154,30
2025-02-12,Product C,East,10110,456,118
2025-02-12,Product C,West,6254,103,23
2025-02-12,Product C,Central,7836,346,80
2025-02-12,Product D,North,11488,312,59
2025-02-12,Product D,South,7294,400,67
2025-02-12,Product D,East,6404,246,36
2025-02-12,Product D,West,7716,244,36
2025-02-12,Product D,Central,6024,164,33
2025-02-12,Product E,North,8022,132,17
2025-02-12,Product E,South,5957,393,42
2025-02-12,Product E,East,7503,173,20
2025-02-12,Product E,West,5588,212,29
2025-02-12,Product E,Central,5713,296,30
2025-02-14,Product A,North,26379,298,96
2025-02-14,Product A,South,26163,187,63
2025-02-14,Product A,East,11119,229,73
2025-02-14,Product A,West,15716,401,122
2025-02-14,Product A,Central,8971,378,120
2025-02-14,Product B,North,25877,243,56
2025-02-14,Product B,South,19827,227,50
2025-02-14,Product B,East,11909,118,29
2025-02-14,Product B,West,15144,369,87
2025-02-14,Product B,Central,6543,374,103
2025-02-14,Product C,North,13887,260,50
2025-02-14,Product C,South,9828,192,43
2025-02-14,Product C,East,9448,432,97
2025-02-14,Product C,West,6048,316,61
2025-02-14,Product C,Central,9653,427,78
2025-02-14,Product D,North,9942,288,55
2025-02-14,Product D,South,10594,407,63
2025-02-14,Product D,East,7626,199,38
2025-02-14,Product D,West,8093,273,41
2025-02-14,Product D,Central,7711,411,87
2025-02-14,Product E,North,8772,346,45
2025-02-14,Product E,South,7716,258,35
2025-02-14,Product E,East,7098,213,22
2025-02-14,Product E,West,4244,253,34
2025-02-14,Product E,Central,2620,184,26
2025-02-17,Product A,North,19930,186,54
2025-02-17,Product A,South,22756,307,119
2025-02-17,Product A,East,22427,216,86
2025-02-17,Product A,West,12976,280,81
2025-02-17,Product A,Central,17696,379,126
2025-02-17,Product B,North,11775,433,106
2025-02-17,Product B,South,13116,464,116
2025-02-17,Product B,East,11679,500,155
2025-02-17,Product B,West,11540,467,118
2025-02-17,Product B,Central,9542,144,41
2025-02-17,Product C,North,9785,296,55
2025-02-17,Product C,South,8440,243,57
2025-02-17,Product C,East,14957,273,63
2025-02-17,Product C,West,9039,454,110
2025-02-17,Product C,Central,10552,374,90
2025-02-17,Product D,North,12300,350,73
2025-02-17,Product D,South,7725,114,19
2025-02-17,Product D,East,11170,192,39
2025-02-17,Product D,West,4895,248,38
2025-02-17,Product D,Central,8348,402,80
2025-02-17,Product E,North,8151,174,19
2025-02-17,Product E,South,4241,132,16
2025-02-17,Product E,East,3532,324,34
2025-02-17,Product E,West,5576,156,22
2025-02-17,Product E,Central,6388,472,48
2025-02-19,Product A,North,18709,227,78
2025-02-19,Product A,South,13709,148,55
2025-02-19,Product A,East,15889,335,139
2025-02-19,Product A,West,20628,116,33
2025-02-19,Product A,Central,16315,199,77
2025-02-19,Product B,North,20494,120,31
2025-02-19,Product B,South,15770,254,68
2025-02-19,Product B,East,18014,313,70
2025-02-19,Product B,West,15939,467,122
2025-02-19,Product B,Central,15012,162,46
2025-02-19,Product C,North,14627,342,80
2025-02-19,Product C,South,15483,439,92
2025-02-19,Product C,East,6731,328,84
2025-02-19,Product C,West,12437,451,112
2025-02-19,Product C,Central,8117,356,88
2025-02-19,Product D,North,7787,353,73
2025-02-19,Product D,South,6938,285,47
2025-02-19,Product D,East,5513,364,71
2025-02-19,Product D,West,7664,251,48
2025-02-19,Product D,Central,9291,295,58
2025-02-19,Product E,North,7385,128,18
2025-02-19,Product E,South,5612,291,38
2025-02-19,Product E,East,4408,429,52
2025-02-19,Product E,West,3186,451,54
2025-02-19,Product E,Central,3718,434,44
2025-02-20,Product A,North,24466,274,106
2025-02-20,Product A,South,14998,395,154
2025-02-20,Product A,East,10875,441,167
2025-02-20,Product A,West,11790,405,133
2025-02-20,Product A,Central,8020,321,130
2025-02-20,Product B,North,14571,225,52
2025-02-20,Product B,South,19171,300,97
2025-02-20,Product B,East,15615,341,113
2025-02-20,Product B,West,12833,140,41
2025-02-20,Product B,Central,15641,392,115
2025-02-20,Product C,North,18712,467,119
2025-02-20,Product C,South,8691,149,30
2025-02-20,Product C,East,13137,363,85
2025-02-20,Product C,West,5646,352,91
2025-02-20,Product C,Central,10024,434,84
2025-02-20,Product D,North,8739,159,23
2025-02-20,Product D,South,6528,481,91
2025-02-20,Product D,East,8709,441,82
2025-02-20,Product D,West,10380,346,50
2025-02-20,Product D,Central,8372,270,53
2025-02-20,Product E,North,4143,235,30
2025-02-20,Product E,South,5262,400,51
2025-02-20,Product E,East,6235,477,62
2025-02-20,Product E,West,4081,318,32
2025-02-20,Product E,Central,3601,128,15
2025-02-23,Product A,North,32132,252,87
2025-02-23,Product A,South,12721,107,39
2025-02-23,Product A,East,11988,172,63
2025-02-23,Product A,West,15477,139,49
2025-02-23,Product A,Central,11804,225,80
2025-02-23,Product B,North,11663,295,86
2025-02-23,Product B,South,17724,458,111
2025-02-23,Product B,East,18504,344,113
2025-02-23,Product B,West,14225,282,71
2025-02-23,Product B,Central,9056,226,73
2025-02-23,Product C,North,16681,140,36
2025-02-23,Product C,South,10542,341,86
2025-02-23,Product C,East,12162,219,43
2025-02-23,Product C,West,6136,156,29
2025-02-23,Product C,Central,10844,264,50
2025-02-23,Product D,North,7072,182,36
2025-02-23,Product D,South,6708,344,65
2025-02-23,Product D,East,6154,386,69
2025-02-23,Product D,West,9104,430,72
2025-02-23,Product D,Central,9430,144,26
2025-02-23,Product E,North,5920,305,30
2025-02-23,Product E,South,8607,170,21
2025-02-23,Product E,East,3790,338,39
2025-02-23,Product E,West,4763,109,10
2025-02-23,Product E,Central,4489,332,44
2025-02-24,Product A,North,24388,323,108
2025-02-24,Product A,South,19514,278,107
2025-02-24,Product A,East,21649,457,185
2025-02-24,Product A,West,20567,446,166
2025-02-24,Product A,Central,15093,396,120
2025-02-24,Product B,North,15143,321,93
2025-02-24,Product B,South,18492,460,119
2025-02-24,Product B,East,12441,465,143
2025-02-24,Product B,West,14736,128,36
2025-02-24,Product B,Central,12165,212,60
2025-02-24,Product C,North,15886,195,41
2025-02-24,Product C,South,8059,475,110
2025-02-24,Product C,East,12209,196,40
2025-02-24,Product C,West,13329,100,18
2025-02-24,Product C,Central,5713,310,61
2025-02-24,Product D,North,10946,252,47
2025-02-24,Product D,South,13182,372,61
2025-02-24,Product D,East,7626,214,44
2025-02-24,Product D,West,4686,416,69
2025-02-24,Product D,Central,5279,351,74
2025-02-24,Product E,North,4322,203,19
2025-02-24,Product E,South,6580,324,35
2025-02-24,Product E,East,3405,154,16
2025-02-24,Product E,West,6264,353,50
2025-02-24,Product E,Central,4301,359,37
2025-02-27,Product A,North,27660,414,139
2025-02-27,Product A,South,24102,220,64
2025-02-27,Product A,East,13334,406,116
2025-02-27,Product A,West,18812,427,140
2025-02-27,Product A,Central,13401,399,167
2025-02-27,Product B,North,14775,126,40
2025-02-27,Product B,South,16461,383,118
2025-02-27,Product B,East,11928,278,72
2025-02-27,Product B,West,10512,349,88
2025-02-27,Product B,Central,9601,441,98
2025-02-27,Product C,North,15540,413,82
2025-02-27,Product C,South,11465,352,73
2025-02-27,Product C,East,7571,443,106
2025-02-27,Product C,West,11174,378,82
2025-02-27,Product C,Central,8461,466,90
2025-02-27,Product D,North,10762,402,72
2025-02-27,Product D,South,9783,256,45
2025-02-27,Product D,East,6436,195,31
2025-02-27,Product D,West,6545,273,41
2025-02-27,Product D,Central,8013,267,46
2025-02-27,Product E,North,6795,416,51
2025-02-27,Product E,South,8761,494,48
2025-02-27,Product E,East,7145,173,16
2025-02-27,Product E,West,6020,192,20
2025-02-27,Product E,Central,4994,382,49
2025-03-06,Product A,North,30423,125,35
2025-03-06,Product A,South,19179,263,100
2025-03-06,Product A,East,13999,348,137
2025-03-06,Product A,West,15408,128,42
2025-03-06,Product A,Central,18568,121,35
2025-03-06,Product B,North,11330,490,131
2025-03-06,Product B,South,18078,151,48
2025-03-06,Product B,East,17746,496,141
2025-03-06,Product B,West,11068,318,100
2025-03-06,Product B,Central,7642,387,119
2025-03-06,Product C,North,15615,383,71
2025-03-06,Product C,South,16130,380,78
2025-03-06,Product C,East,10730,287,68
2025-03-06,Product C,West,7540,197,41
2025-03-06,Product C,Central,7539,397,93
2025-03-06,Product D,North,10700,145,30
2025-03-06,Product D,South,11810,420,76
2025-03-06,Product D,East,5268,176,28
2025-03-06,Product D,West,10683,468,100
2025-03-06,Product D,Central,6419,322,49
2025-03-06,Product E,North,9361,254,32
2025-03-06,Product E,South,4924,180,21
2025-03-06,Product E,East,4537,285,29
2025-03-06,Product E,West,4826,242,31
2025-03-06,Product E,Central,3109,458,50
2025-03-13,Product A,North,18696,296,97
2025-03-13,Product A,South,16017,197,56
2025-03-13,Product A,East,20615,345,114
2025-03-13,Product A,West,20573,339,128
2025-03-13,Product A,Central,9083,333,95
2025-03-13,Product B,North,23597,143,45
2025-03-13,Product B,South,17609,354,94
2025-03-13,Product B,East,18207,176,52
2025-03-13,Product B,West,9974,305,83
2025-03-13,Product B,Central,14913,459,150
2025-03-13,Product C,North,17368,480,107
2025-03-13,Product C,South,14479,155,35
2025-03-13,Product C,East,13912,453,119
2025-03-13,Product C,West,9784,327,71
2025-03-13,Product C,Central,8812,246,54
2025-03-13,Product D,North,10418,377,60
2025-03-13,Product D,South,8286,392,76
2025-03-13,Product D,East,11466,500,91
2025-03-13,Product D,West,8010,180,27
2025-03-13,Product D,Central,7693,500,75
2025-03-13,Product E,North,6553,336,35
2025-03-13,Product E,South,7416,273,31
2025-03-13,Product E,East,6172,166,17
2025-03-13,Product E,West,6647,100,10
2025-03-13,Product E,Central,5397,131,13
2025-03-14,Product A,North,15342,175,50
2025-03-14,Product A,South,18582,224,77
2025-03-14,Product A,East,12634,462,156
2025-03-14,Product A,West,18481,112,42
2025-03-14,Product A,Central,19655,306,99
2025-03-14,Product B,North,11186,294,83
2025-03-14,Product B,South,17716,431,127
2025-03-14,Product B,East,15266,232,70
2025-03-14,Product B,West,14811,320,95
2025-03-14,Product B,Central,11864,244,78
2025-03-14,Product C,North,10604,106,24
2025-03-14,Product C,South,14737,379,93
2025-03-14,Product C,East,6683,286,72
2025-03-14,Product C,West,11772,493,93
2025-03-14,Product C,Central,7998,351,68
2025-03-14,Product D,North,12655,380,60
2025-03-14,Product D,South,6179,362,60
2025-03-14,Product D,East,9727,479,102
2025-03-14,Product D,West,6558,329,69
2025-03-14,Product D,Central,4330,114,20
2025-03-14,Product E,North,4930,251,27
2025-03-14,Product E,South,6318,177,19
2025-03-14,Product E,East,5298,221,28
2025-03-14,Product E,West,4203,165,17
2025-03-14,Product E,Central,3379,263,27
2025-03-21,Product A,North,28060,284,83
2025-03-21,Product A,South,15561,496,197
2025-03-21,Product A,East,14810,196,72
2025-03-21,Product A,West,15089,251,103
2025-03-21,Product A,Central,14804,301,95
2025-03-21,Product B,North,21271,394,105
2025-03-21,Product B,South,14430,226,65
2025-03-21,Product B,East,10158,349,117
2025-03-21,Product B,West,13934,471,128
2025-03-21,Product B,Central,13804,355,82
2025-03-21,Product C,North,18051,240,54
2025-03-21,Product C,South,13059,466,90
2025-03-21,Product C,East,7757,378,86
2025-03-21,Product C,West,11267,436,109
2025-03-21,Product C,Central,7356,351,83
2025-03-21,Product D,North,12173,475,102
2025-03-21,Product D,South,6200,119,22
2025-03-21,Product D,East,8376,476,87
2025-03-21,Product D,West,8766,411,65
2025-03-21,Product D,Central,5092,312,56
2025-03-21,Product E,North,5097,462,54
2025-03-21,Product E,South,8177,397,47
2025-03-21,Product E,East,5770,452,58
2025-03-21,Product E,West,4156,449,50
2025-03-21,Product E,Central,6040,340,48
2025-03-24,Product A,North,31032,175,68
2025-03-24,Product A,South,13745,401,152
2025-03-24,Product A,East,12287,115,34
2025-03-24,Product A,West,19403,407,125
2025-03-24,Product A,Central,16278,482,196
2025-03-24,Product B,North,20118,500,115
2025-03-24,Product B,South,14583,176,41
2025-03-24,Product B,East,19979,410,123
2025-03-24,Product B,West,12289,143,34
2025-03-24,Product B,Central,15554,497,138
2025-03-24,Product C,North,14595,304,63
2025-03-24,Product C,South,9304,107,25
2025-03-24,Product C,East,10942,351,91
2025-03-24,Product C,West,11369,482,94
2025-03-24,Product C,Central,8333,303,76
2025-03-24,Product D,North,9118,404,63
2025-03-24,Product D,South,7278,453,89
